,Symbol
924,PDE1C
925,SNX2
926,PTPN11
927,PSMA8
928,GIGYF1
929,SH3BGRL2
930,TRAK2
931,POLG2
932,ZNF543
933,DYRK1B
934,P2RY6
935,APMAP
936,GIPC2
937,GPR152
938,BST2
939,ESR2
940,SLC35F2
941,BTRC
942,MSRA
943,ULK1
944,TOPAZ1
945,LPL
946,TMEM86A
947,ANGPT1
948,RPUSD3
949,SPHK1
950,ZNF527
951,ILDR1
952,PMAIP1
953,SLC49A4
954,NMUR2
955,ZFHX2
956,TUBA1A
957,SCRN1
958,FGL1
959,RAD9A
960,RXFP3
961,CDH15
962,GALNT13
963,MXD4
964,ELOVL4
965,IDH2
966,CAPN9
967,INO80D
968,FANK1
969,SLC35A3
970,ZNF468
971,C1QTNF8
972,TNRC6C
973,FAIM
974,CPXM2
975,LOXL1
976,TNFSF10
977,CCT5
978,SERPINE1
979,AFMID
980,TMEM97
981,UQCC5
982,EPHA7
983,NEU4
984,C2CD2
985,CELF1
986,CRB1
987,GCC1
988,HIF1AN
989,DCLK1
990,ARHGAP44
991,ZNF107
992,FFAR2
993,TRA2B
994,KIF5C
995,MUC5B
996,LRRC58
997,CALR
998,ZNF333
999,MYLK
1000,YWHAQ
1001,STX4
1002,MTA1
1003,KPNA7
1004,GRB7
1005,ACSM4
1006,ARF4
1007,CASP3
1008,LMO4
1009,MYL9
1010,TXNRD1
1011,BCL2
1012,LRP2
1013,SCP2
1014,LGR5
1015,COPB2
1016,DNAJB6
1017,DNM1L
1018,CKAP2
1019,FLT4
1020,FAM186A
1021,PLEKHM3
1022,TRIM2
1023,POLR1G
1024,SIRPB2
1025,TAFA2
1026,SOWAHA
1027,BAAT
1028,TFB2M
1029,RPP25L
1030,PHF14
1031,RTN2
1032,NUP107
1033,TPPP
1034,TP53RK
1035,EMC10
1036,SUPT16H
1037,UBTF
1038,ROS1
1039,TMEM50A
1040,UBQLN1
1041,TRAPPC3
1042,TRIM55
1043,SUGT1
1044,ABCF1
1045,GLI2
1046,RSPO2
1047,PLK1
1048,PIK3CG
1049,WDTC1
1050,DLEU7
1051,RNF149
1052,MAPK10
1053,TOR3A
1054,UGGT2
1055,PHRF1
1056,HMGA2
1057,CTNNAL1
1058,BRD2
1059,KRT2
1060,OR10J5
1061,WDR74
1062,TBK1
1063,ECHDC2
1064,ZFP1
1065,FAM120AOS
1066,FAM114A1
1067,TTLL2
1068,NFE2L2
1069,ZNF626
