,Symbol
974,NAB2
975,SLC35B1
976,TSC22D1
977,IL1B
978,DPH2
979,PECR
980,ZNF781
981,TERT
982,SMC3
983,ST6GALNAC2
984,PMM2
985,KLK1
986,FOSL1
987,RHD
988,DNAJC2
989,PUS1
990,PDCD6
991,IGF1
992,MYL6
993,MRPL19
994,TWSG1
995,DCK
996,DUSP4
997,CTRC
998,ENPEP
999,TICAM1
1000,RB1
1001,BCR
1002,TMEM109
1003,PCMT1
1004,ZNF30
1005,TOMM34
1006,DCST2
1007,FGFR1OP2
1008,DTX2
1009,NRIP1
1010,S100A8
1011,ZBTB7B
1012,ECSIT
1013,TESK1
1014,MAT2B
1015,P4HA2
1016,ARHGEF12
1017,ZNF77
1018,SESN1
1019,MRTO4
1020,CSNK1E
1021,TMED10
1022,LETMD1
1023,TBPL1
1024,HOXA13
1025,RXRB
1026,GNAI1
1027,MYADM
1028,LPGAT1
1029,ICMT
1030,RFC2
1031,ATF5
1032,GCNT1
1033,ATP11B
1034,RAE1
1035,DDX49
1036,INPP1
1037,RPA1
1038,SRP54
1039,GAL3ST1
1040,NTMT1
1041,RIMS3
1042,HMGCS1
1043,MANEA
1044,ATP6V1C1
1045,MYO18B
1046,ZNF697
1047,ATM
1048,NSMCE2
1049,COMMD1
1050,MYO10
1051,HOMER1
1052,CASP10
1053,PDPK1
1054,ASCC2
1055,FBXO16
1056,FGFR3
1057,SLTM
1058,GRN
1059,ASNS
1060,TP53BP2
1061,RNF170
1062,IGF1R
1063,SLC35A1
1064,CHEK1
1065,RHEB
1066,GSK3A
1067,BRCA1
1068,STAT1
1069,PPM1L
1070,ST7L
1071,CD44
1072,ORAI2
1073,HAVCR1
1074,SASS6
1075,CRELD2
1076,CLTC
1077,TUBB
1078,ZBTB22
1079,DMXL1
1080,STARD7
1081,PPA2
1082,RBM18
1083,IMPA1
1084,ALDOA
1085,PIKFYVE
1086,PIH1D1
1087,PRKCG
1088,ICAM1
1089,USP47
1090,IRX5
1091,MRPL22
1092,CSK
1093,MLXIP
1094,CALCB
1095,HSP90AB1
1096,ATR
1097,DYRK1A
1098,SUGP1
1099,RALB
1100,CTTNBP2
1101,SLC5A9
1102,SPRED2
1103,EFNA5
1104,OLIG1
1105,GLS
1106,PSPH
1107,TIAM1
1108,PER1
1109,CEBPE
1110,CDK9
1111,MZT2A
1112,PDE5A
1113,ACAP1
1114,MROH1
1115,TGFB3
1116,GPAM
1117,TEK
1118,RBM15B
1119,SRP68
1120,TFPI2
1121,EIF2A
1122,PNKP
1123,PLEKHG1
1124,GSK3B
1125,CTSB
1126,PAX8
1127,ATN1
1128,APPBP2
1129,JAK2
1130,NIPA1
1131,KCNG2
1132,TMEM229B
1133,RHBDD3
1134,FLACC1
1135,MAPK8
1136,CPOX
1137,BHLHE23
1138,VAPB
1139,RHOB
1140,USP1
1141,RARS2
1142,CHN1
1143,EDN1
1144,PDHX
1145,FKBP1B
1146,GTF2E2
1147,NBEA
1148,TIE1
1149,TP53BP1
1150,KATNIP
1151,LSR
1152,GTF2A2
1153,MTHFD1L
1154,TUBB1
1155,YY1AP1
1156,SPDEF
1157,TBX18
1158,BRSK2
1159,SOCS1
1160,CAST
1161,SLC25A26
1162,PLOD3
1163,FAM174A
1164,MCL1
1165,ADAM15
1166,SCAND1
1167,CPLX1
1168,FBXO7
1169,TMEM50B
1170,ZKSCAN2
1171,TGFBR2
1172,SENP1
1173,ITGAE
1174,MRGBP
1175,CASP1
1176,PPM1D
1177,SLC10A7
1178,PCM1
1179,NOL7
1180,PPARD
1181,RGS16
1182,ITPK1
1183,PAK6
1184,HDLBP
1185,SEZ6L
1186,AKT2
1187,BHLHE40
1188,CSAD
1189,RILPL1
1190,GATA3
1191,EBNA1BP2
1192,ZCWPW1
1193,CNOT10
1194,ZNF280D
1195,ATG9A
1196,IRGQ
1197,KIF20A
1198,PEG10
1199,RNF208
1200,PPP2R5E
1201,ATP1B1
1202,FGFR4
1203,ZHX2
1204,OLFML3
1205,ACVR1B
1206,TRDMT1
1207,GNG5
1208,IFRD2
1209,MED10
1210,UBL3
1211,SIRT1
1212,DIPK1A
1213,POLB
1214,SLC27A4
1215,THRB
1216,NUDCD3
1217,SGTB
1218,PLK2
1219,ZNF189
1220,RHBDF1
1221,XBP1
1222,MAP7
1223,CBR3
1224,ZNF329
1225,SMAD3
1226,COX5B
1227,PEX11A
1228,LPXN
1229,CNDP2
1230,FOXO3
1231,SAR1A
1232,ARHGEF4
1233,A2M
1234,MFSD10
1235,FBXL3
1236,GADD45A
1237,RAB40B
1238,RAB27A
1239,PTEN
1240,CAMSAP2
1241,DMXL2
1242,SHC2
1243,SNX20
1244,PDE3B
1245,RAB7A
1246,PAK1
1247,CAMP
1248,RPL39L
1249,TIMP2
1250,AKT1S1
1251,GTPBP1
1252,WBP11
1253,RNF25
1254,ENOSF1
1255,TMEM38B
1256,UBE2L3
1257,MS4A6E
1258,ZNF131
1259,PIK3C2B
1260,MGAT1
1261,CAPN10
1262,IGFBP5
1263,CRIP3
1264,CDC45
1265,TARBP1
1266,SLC24A3
1267,TPD52L2
1268,NACC1
1269,FBXO41
1270,MRPL18
1271,TMEM8B
1272,RNPS1
1273,NDUFB2
1274,NCK2
1275,THOP1
1276,RALY
1277,XRCC3
1278,NCOA2
1279,VAT1
1280,CLYBL
1281,EME1
1282,RTN4IP1
1283,EVL
1284,APLP2
1285,GNAI2
1286,FBXO33
1287,CDKN1B
1288,STAP2
1289,GFPT1
1290,ACTR3B
1291,UQCRH
1292,TM9SF2
1293,TMEM255B
1294,NELL2
1295,ANKRD44
1296,ITFG1
1297,RPA2
1298,CORO1A
1299,KIF2C
1300,CEP152
1301,NOLC1
1302,GMNN
1303,UFC1
1304,SEMA6C
1305,PIK3R4
1306,SLC39A8
1307,MMP2
1308,FSCN3
1309,GARRE1
1310,CEBPD
1311,DUSP11
1312,SH3D21
1313,HOOK2
1314,CLSTN1
1315,PHOSPHO1
1316,CRK
1317,NTHL1
1318,GEMIN5
1319,SESN2
1320,ETFDH
1321,FAHD1
1322,PLAGL1
1323,CCND3
1324,CRYZ
1325,ARHGAP1
1326,IKBKE
1327,SNRNP35
1328,ARNT
1329,RNF32
1330,JAK1
1331,LBR
1332,GHR
1333,BLMH
1334,CELSR3
1335,LYPD6
1336,TRIAP1
1337,KALRN
1338,MPZL1
1339,FPGS
1340,THADA
1341,LGMN
1342,CDK5
1343,EGF
1344,SMURF2
1345,HSPA8
1346,TCERG1
1347,DHODH
1348,FKBP14
1349,MET
1350,POLR3G
1351,SNX7
1352,SCAMP2
1353,SDHA
1354,CCDC62
1355,SHC1
1356,GFOD1
1357,COPZ2
1358,GSTZ1
1359,ZWILCH
1360,CRBN
1361,HMOX2
1362,URB2
1363,NUDT17
1364,EPHB4
1365,CAPG
1366,DSG2
1367,TMEM106A
1368,PAPLN
1369,LIPA
1370,SLC46A2
1371,HDAC11
1372,MIXL1
1373,MICALL1
1374,TXLNA
1375,ARHGEF33
1376,DMTF1
1377,CDC20
1378,IQGAP1
1379,CDC25B
1380,PSMF1
1381,RSBN1
1382,RSRC1
1383,PARP2
1384,MRPL36
1385,GNAS
1386,PCCB
1387,S100A13
1388,MMEL1
1389,MAF
1390,HOMER2
1391,NUDT1
1392,ETFB
1393,RALA
1394,PIK3AP1
1395,TNFRSF8
1396,TUBD1
1397,ADAM10
1398,RELN
1399,PARP9
1400,IVD
1401,RPIA
1402,SRSF6
1403,CRYBB1
1404,GOLT1B
1405,TEX30
1406,DENND1B
1407,KPNB1
1408,E2F2
1409,ATXN7L3
1410,ELMOD2
1411,GFUS
1412,TOR2A
1413,G6PC3
1414,TFF3
1415,OSBPL5
1416,FRMD6
1417,UBXN7
1418,PAF1
1419,SLC25A1
1420,ARHGAP9
1421,RXRA
1422,TRIB1
1423,RGMB
1424,RBP4
1425,SGCB
1426,NES
1427,GUK1
1428,DTL
1429,QARS1
1430,HEATR1
1431,IQGAP2
1432,MFSD3
1433,HERPUD1
1434,ZNHIT6
1435,CDCA4
1436,ZMYM2
1437,LIG1
1438,HCAR1
1439,APEX1
1440,DDIT4
1441,PDLIM1
1442,DDX42
1443,CORO1B
1444,TKT
1445,ACSL3
1446,ETV1
1447,PCNA
1448,PSMB5
1449,SERTAD1
1450,NKIRAS1
1451,NLRC4
1452,SAMD4B
1453,AKT3
1454,PDCD11
1455,IL2RA
1456,BLTP2
1457,CDS2
1458,MAT2A
1459,FAM110A
1460,BBS4
1461,PAN2
1462,IFIT1
1463,ST6GAL1
1464,SYMPK
1465,NOSIP
1466,INPP4B
1467,GNA15
1468,FSTL1
1469,ABCB4
1470,MAPK7
1471,ICAM3
1472,NUDT9
1473,ALOX12B
1474,ABHD4
1475,ROR1
1476,GABARAPL2
1477,BRD10
1478,TNKS
1479,PKD1
1480,PAK1IP1
1481,ASB2
1482,EPHB2
1483,TARS3
1484,MME
1485,PACSIN3
1486,ZBTB7C
1487,STK11
1488,PIM1
1489,CTU1
1490,PLEKHM1
1491,HS2ST1
1492,BMP2K
1493,CYTL1
1494,HIVEP1
1495,GRIP1
1496,LMTK3
1497,CXCL6
1498,RIPK1
1499,RRS1
1500,PDE7A
1501,CDC7
1502,SMARCD2
1503,SLC8A1
1504,LIMS1
1505,ELOVL7
1506,VPS28
1507,MFAP5
1508,PNPLA6
1509,GNA13
1510,CLEC4D
1511,ZDHHC2
1512,ENTPD8
1513,DUSP3
1514,CERK
1515,FUT1
1516,LANCL1
1517,ANKRD10
1518,MGMT
1519,NAB1
1520,NDUFAF2
1521,IGHMBP2
1522,SERTAD2
1523,METTL3
1524,ATP6V0B
1525,ANKRD40
1526,S100A16
1527,IFIH1
1528,CEL
1529,KCTD13
1530,LRRC1
1531,ARHGAP25
1532,DYNLT4
1533,ZNF530
1534,CCDC116
1535,MADD
1536,ERI1
1537,DDX1
1538,GPBP1L1
1539,DNER
1540,FSD1
1541,CLMN
1542,ENTPD2
1543,MACF1
1544,MTX3
1545,EHD3
1546,BPHL
1547,ZNF473
1548,AKR7A2
1549,ZNF330
1550,PPOX
1551,GLOD4
1552,HDC
1553,GRPEL1
1554,CHST14
1555,CYB5B
1556,F12
1557,RAB11FIP2
1558,IPO7
1559,ZDHHC13
1560,SDHB
1561,COG2
1562,MESP2
1563,ID2
1564,SPTAN1
1565,GALR2
1566,MYBPC2
1567,GEMIN7
1568,TESC
1569,ZNF426
1570,SMARCA2
1571,PYGB
1572,AGRN
1573,PTPN12
1574,NR3C1
1575,TRIM13
1576,AK7
1577,MED19
1578,NTRK1
1579,LRRC66
1580,DIXDC1
1581,RIC3
1582,AAAS
1583,NEU1
1584,AMFR
1585,HIPK2
1586,RBM45
1587,PAQR9
1588,FANCM
1589,NUP153
1590,SNX17
1591,MPEG1
1592,SGK3
1593,WDR7
1594,ZNF345
1595,MMS22L
1596,DDB2
1597,VPS41
1598,NCALD
1599,ORMDL1
1600,ZNF462
1601,NRXN2
1602,ZKSCAN3
1603,TYMS
1604,CDK5R1
1605,OXSR1
1606,SLC16A1
1607,TLCD3A
1608,SLC6A13
1609,S1PR1
1610,ARHGEF2
1611,RSPH3
1612,SLC25A36
1613,TFAP4
1614,CCDC102A
1615,APCDD1
1616,RTP4
1617,ATF6
1618,FBN2
1619,STON2
1620,CSF2RB
1621,ZC2HC1C
1622,GJC2
1623,SMNDC1
1624,MYBL1
1625,CLTB
1626,PPP1CB
1627,ABCC4
1628,HDAC2
1629,PSIP1
1630,PALB2
1631,PPP1R3G
1632,NCOA3
1633,PBX1
1634,USP14
1635,TPM1
1636,ROCK1
1637,MBOAT7
1638,POR
1639,GATA2
1640,ELAVL1
1641,DCBLD1
1642,CA12
1643,ZNF274
1644,DCUN1D4
1645,PELP1
1646,RABEP2
1647,FCHO1
1648,ROM1
1649,ZBTB46
1650,ATP2C1
1651,EFCAB14
1652,DNAJA3
1653,SYT11
1654,ACTA1
1655,ZMIZ1
1656,TERF2IP
1657,TRIB3
1658,CPSF4
1659,STK25
1660,CRTAM
1661,BAG3
1662,RHOH
1663,ATP6V0A1
1664,STK10
1665,MRPL40
1666,PRKCQ
1667,DUSP22
1668,NISCH
1669,TENM2
1670,CDC25A
1671,THAP11
1672,CDYL
1673,BCL2L12
1674,ACVR1C
1675,CDK6
1676,GCLC
1677,SLC11A2
1678,NTRK2
1679,SYNGR2
1680,SDC4
1681,DRAP1
1682,TMEM132A
1683,FREM1
1684,SLC1A4
1685,NDUFA3
1686,PHLDA1
1687,ATG5
1688,PENK
1689,CDC42
1690,KRAS
1691,ZNF589
1692,PHGDH
1693,SNRPD1
1694,HAL
